                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2041999092911702E+002   0.0000000000000000E+000                         0                         0                         1                         1
  0.9437213085338409E+002   0.0000000000000000E+000                         0                         0                         6                         6
  0.4942122489315166E+003   0.0000000000000000E+000                         0                         0                        37                        37
  0.6937495246635461E+003   0.0000000000000000E+000                         0                         0                        52                        52
  0.8931241837126836E+003   0.0000000000000000E+000                         0                         0                        67                        67
  0.1092601513369636E+004   0.0000000000000000E+000                         0                         0                        82                        82
  0.1266172207956711E+004   0.0000000000000000E+000                         0                         0                        95                        95
  0.1545742331641053E+004   0.0000000000000000E+000                         0                         0                       116                       116
  0.1746296495845271E+004   0.0000000000000000E+000                         0                         0                       131                       131
  0.1919080761509877E+004   0.0000000000000000E+000                         0                         0                       144                       144
  0.2119115331093454E+004   0.0000000000000000E+000                         0                         0                       159                       159
  0.2319456005296807E+004   0.0000000000000000E+000                         0                         0                       174                       174
  0.2545561232962502E+004   0.0000000000000000E+000                         0                         0                       191                       191
  0.2719488498299738E+004   0.0000000000000000E+000                         0                         0                       204                       204
  0.2945643606886467E+004   0.0000000000000000E+000                         0                         0                       221                       221
  0.3145998993809185E+004   0.0000000000000000E+000                         0                         0                       236                       236
  0.3346158374901270E+004   0.0000000000000000E+000                         0                         0                       251                       251
  0.3545759702044530E+004   0.0000000000000000E+000                         0                         0                       266                       266
  0.3746465037797761E+004   0.0000000000000000E+000                         0                         0                       281                       281
  0.3919327675905738E+004   0.0000000000000000E+000                         0                         0                       294                       294
  0.4146329423112963E+004   0.0000000000000000E+000                         0                         0                       311                       311
  0.4346486088809044E+004   0.0000000000000000E+000                         0                         0                       326                       326
  0.4519400225501740E+004   0.0000000000000000E+000                         0                         0                       339                       339
  0.4746849093028655E+004   0.0000000000000000E+000                         0                         0                       356                       356
  0.4919725546809244E+004   0.0000000000000000E+000                         0                         0                       369                       369
  0.5119973321187194E+004   0.0000000000000000E+000                         0                         0                       384                       384
  0.5320344541425803E+004   0.0000000000000000E+000                         0                         0                       399                       399
  0.5573345589005836E+004   0.0000000000000000E+000                         0                         0                       418                       418
  0.5720600892064070E+004   0.0000000000000000E+000                         0                         0                       429                       429
  0.6000075253856805E+004   0.0000000000000000E+000                         0                         0                       450                       450
  0.6147252656901759E+004   0.0000000000000000E+000                         0                         0                       461                       461
  0.6373971205677012E+004   0.0000000000000000E+000                         0                         0                       478                       478
  0.6600630332506013E+004   0.0000000000000000E+000                         0                         0                       495                       495
  0.6747831296276815E+004   0.0000000000000000E+000                         0                         0                       506                       506
  0.7000601256719229E+004   0.0000000000000000E+000                         0                         0                       525                       525
  0.7201320060573751E+004   0.0000000000000000E+000                         0                         0                       540                       540
  0.7401053046035407E+004   0.0000000000000000E+000                         0                         0                       555                       555
  0.7601165783485390E+004   0.0000000000000000E+000                         0                         0                       570                       570
  0.7801675520257671E+004   0.0000000000000000E+000                         0                         0                       585                       585
  0.7974474835951271E+004   0.0000000000000000E+000                         0                         0                       598                       598
  0.8201860701049580E+004   0.0000000000000000E+000                         0                         0                       615                       615
  0.8375035258616723E+004   0.0000000000000000E+000                         0                         0                       628                       628
  0.8574929424426216E+004   0.0000000000000000E+000                         0                         0                       643                       643
  0.8802209818023306E+004   0.0000000000000000E+000                         0                         0                       660                       660
  0.8975008761628957E+004   0.0000000000000000E+000                         0                         0                       673                       673
  0.9175633190932582E+004   0.0000000000000000E+000                         0                         0                       688                       688
  0.9375561198237367E+004   0.0000000000000000E+000                         0                         0                       703                       703
  0.9575461321704321E+004   0.0000000000000000E+000                         0                         0                       718                       718
  0.9776093002230622E+004   0.0000000000000000E+000                         0                         0                       733                       733
  0.1000219302843151E+005   0.0000000000000000E+000                         0                         0                       750                       750
  0.1017614435132858E+005   0.0000000000000000E+000                         0                         0                       763                       763
  0.1040260403251544E+005   0.0000000000000000E+000                         0                         0                       780                       780
  0.1060273589171735E+005   0.0000000000000000E+000                         0                         0                       795                       795
  0.1077656632705702E+005   0.0000000000000000E+000                         0                         0                       808                       808
  0.1100266110440620E+005   0.0000000000000000E+000                         0                         0                       825                       825
  0.1120336334551844E+005   0.0000000000000000E+000                         0                         0                       840                       840
  0.1140301628793198E+005   0.0000000000000000E+000                         0                         0                       855                       855
  0.1160316998897945E+005   0.0000000000000000E+000                         0                         0                       870                       870
  0.1180356261647297E+005   0.0000000000000000E+000                         0                         0                       885                       885
  0.1197634877171961E+005   0.0000000000000000E+000                         0                         0                       898                       898
  0.1220371345843406E+005   0.0000000000000000E+000                         0                         0                       915                       915
  0.1237671714932618E+005   0.0000000000000000E+000                         0                         0                       928                       928
  0.1257669632744592E+005   0.0000000000000000E+000                         0                         0                       943                       943
  0.1277713491424967E+005   0.0000000000000000E+000                         0                         0                       958                       958
  0.1302992825414812E+005   0.0000000000000000E+000                         0                         0                       977                       977
  0.1317710837196117E+005   0.0000000000000000E+000                         0                         0                       988                       988
  0.1345643826256760E+005   0.0000000000000000E+000                         0                         0                      1009                      1009
  0.1365696516129461E+005   0.0000000000000000E+000                         0                         0                      1024                      1024
  0.1382992147872495E+005   0.0000000000000000E+000                         0                         0                      1037                      1037
  0.1402966314659812E+005   0.0000000000000000E+000                         0                         0                      1052                      1052
  0.1422988155265189E+005   0.0000000000000000E+000                         0                         0                      1067                      1067
  0.1445568905572414E+005   0.0000000000000000E+000                         0                         0                      1084                      1084
  0.1465595706969510E+005   0.0000000000000000E+000                         0                         0                      1099                      1099
  0.1490811869147942E+005   0.0000000000000000E+000                         0                         0                      1118                      1118
  0.1510821405176120E+005   0.0000000000000000E+000                         0                         0                      1133                      1133
  0.1530696547228157E+005   0.0000000000000000E+000                         0                         0                      1148                      1148
  0.1550698458542383E+005   0.0000000000000000E+000                         0                         0                      1163                      1163
  0.1573238315863806E+005   0.0000000000000000E+000                         0                         0                      1180                      1180
  0.1595908552171152E+005   0.0000000000000000E+000                         0                         0                      1197                      1197
  0.1613156687070590E+005   0.0000000000000000E+000                         0                         0                      1210                      1210
  0.1633138681252750E+005   0.0000000000000000E+000                         0                         0                      1225                      1225
  0.1655771042903100E+005   0.0000000000000000E+000                         0                         0                      1242                      1242
  0.1673061059442649E+005   0.0000000000000000E+000                         0                         0                      1255                      1255
  0.1693100136631446E+005   0.0000000000000000E+000                         0                         0                      1270                      1270
  0.1721027522160198E+005   0.0000000000000000E+000                         0                         0                      1291                      1291
  0.1735739438343386E+005   0.0000000000000000E+000                         0                         0                      1302                      1302
  0.1761004930323917E+005   0.0000000000000000E+000                         0                         0                      1321                      1321
  0.1781053442865962E+005   0.0000000000000000E+000                         0                         0                      1336                      1336
  0.1801028206585048E+005   0.0000000000000000E+000                         0                         0                      1351                      1351
  0.1818342954805285E+005   0.0000000000000000E+000                         0                         0                      1364                      1364
  0.1838398994098570E+005   0.0000000000000000E+000                         0                         0                      1379                      1379
  0.1858337175175385E+005   0.0000000000000000E+000                         0                         0                      1394                      1394
